"preusuel";"sexratio_prenom";"n"
"sandro";1;6562
"sandry";1;51
"sandryne";0;61
"sandy";0,123190007737372;18094
"sandya";0;52
"sandye";0;24
"sane";0,5;64
"sanel";1;53
"sanela";0;193
"sanella";0;26
"sanem";0;43
"sani";1;64
"sania";0;912
"saniya";0;188
"saniye";0;66
"sanja";0;153
"sanjai";1;22
"sanjana";0;113
"sanjay";1;290
"sanjeev";1;32
"sanjeevan";1;24
"sanji";1;53
"sanjiv";1;24
"sanka";1;38
"sankou";1;21
"sankoumba";1;168
"sankoun";1;40
"sankoung";1;20
"sann";1;23
"sanna";0;444
"sannah";0;76
"sanne";0;31
"sanou";0;50
"sanounou";1;25
"sanoussi";1;29
"sanoussy";1;66
"sansa";0;23
"sanson";1;87
"santa";0;483
"santana";0;195
"sante";1;96
"santhiya";0;26
"santhosh";1;59
"santi";1;137
"santia";0;28
"santiago";1;1442
"santiana";0,346938775510204;98
"santina";0;411
"santine";0;107
"santino";1;533
"santo";1;394
"santos";1;191
"santosh";1;21
"santu";1;64
"santy";1;33
"sany";0,801724137931034;116
"sanya";0;300
"sanzo";1;22
"sao";0,5;66
"saoirse";0;24
"saona";0;718
"saori";0;135
"saory";0;33
"saossane";0;35
"saoucen";0;27
"saoud";1;29
"saouda";0;80
"saoudatou";0;30
"saoudi";1;29
"saousan";0;23
"saousane";0;21
"saousen";0;66
"saoussan";0;29
"saoussane";0;88
"saoussen";0;164
"saoussene";0;31
"sapha";0;38
"saphia";0;573
"saphir";0,787610619469027;452
"saphira";0;187
"saphire";0;25
"sapho";0;54
"saphora";0;60
"saphya";0;26
"saphyr";1;30
"saphyra";0;28
"sapna";0;24
"saquina";0;28
"sara";0,000951474785918173;25224
"sara-lou";0;61
"sara-luna";0;27
"sarafina";0;84
"sarah";0,000187373447369216;165445
"sarah-anne";0;29
"sarah-jane";0;93
"sarah-laure";0;32
"sarah-léa";0;28
"sarah-lee";0;25
"sarah-line";0;44
"sarah-lisa";0;31
"sarah-lise";0;32
"sarah-lou";0;207
"sarah-louise";0;74
"sarah-luna";0;33
"sarah-marie";0;84
"sarah-myriam";0;28
"sarah-rose";0;36
"sarai";0;83
"saraï";0;22
"saran";0,124137931034483;290
"saranda";0;24
"sarane";0;26
"saranya";0;30
"sarata";0;101
"saratou";0;27
"saray";0;29
"sare";0;24
"sarha";0;473
"sarhan";1;32
"sarhane";1;31
"sari";0,618181818181818;55
"saria";0;50
"sariaka";0;32
"sarida";0;30
"sariel";1;22
"sarika";0;36
"sarina";0;271
"sarine";0;30
"sarita";0;140
"sarkis";1;172
"sarodja";0;20
"sarra";0;1622
"sarrah";0;348
"sarujan";1;43
"sary";1;30
"sarya";0;60
"saryna";0;21
"sasa";1;321
"sascha";0,737417943107221;457
"sasha";0,564661708426601;13849
"sashka";0;20
"saskia";0;742
"saskya";0;38
"sassi";1;110
"sassia";0;100
"satchel";1;26
"sateen";0;20
"satheen";0;62
"satheene";0;75
"sathine";0;23
"sathya";0,74;100
"sathyne";0;45
"sati";0;130
"satia";0,479166666666667;48
"satie";0;28
"satilmis";1;22
"satine";0;954
"satou";0;31
"saturna";0;20
"saturnin";0,895943562610229;1134
"saturnine";0;257
"saturnino";1;46
"satya";0,67;400
"satyam";1;38
"satyne";0;41
"saufiane";1;32
"saul";1;535
"saül";1;55
"saunia";0;27
"sauraya";0;41
"sauria";0;33
"sauvane";0;61
"sauvanne";0;38
"sauveur";1;3039
"savana";0;603
"savanah";0;607
"savanna";0;277
"savannah";0;2029
"savas";1;65
"saveria";0;487
"savéria";0;28
"saverina";0;21
"saverio";1;270
"saveriu";1;123
"savia";0;33
"savin";1;74
"savina";0;189
"savine";0;223
"savinien";1;413
"savino";1;142
"savio";1;83
"sawan";1;37
"sawda";0;96
"sawsan";0;176
"sawsana";0;37
"sawsane";0;293
"sawsen";0;231
"sawsene";0;214
"sawsène";0;36
"sawssan";0;23
"sawssane";0;53
"sawssen";0;91
"sawssene";0;34
"sawyer";1;92
"say";1;24
"saya";0,0877659574468085;376
"sayah";1;67
"sayaline";0;82
"sayam";1;31
"sayan";1;516
"sayana";0;250
"sayane";0,5;118
"sayann";1;194
"sayanna";0;53
"sayanne";0;28
"sayda";0;27
"saydou";1;43
"sayed";1;74
"sayf";1;176
"sayf-eddine";1;39
"sayfdine";1;27
"sayfeddine";1;51
"sayfedine";1;43
"sayfoullah";1;51
"sayfullah";1;30
"sayhan";1;20
"sayma";0;27
"saymon";1;53
"sayna";0;105
"sayon";0,322222222222222;90
"sayron";1;21
"saysana";1;40
"sayuri";0;38
"saziye";0;25
"scander";1;84
"scarlet";0;46
"scarlett";0;881
"scarlette";0;100
"schadrac";1;54
"schaima";0;64
"schaina";0;25
"schainez";0;21
"schana";0;48
"schanna";0;25
"scheerazade";0;20
"scheherazade";0;378
"schéhérazade";0;56
"scheila";0;40
"scheima";0;26
"schekina";0;36
"schelsy";0;23
"scherazade";0;211
"schérazade";0;20
"scherif";1;31
"scherine";0;24
"scherley";0;31
"schilo";1;54
"schirley";0;57
"schneider";1;52
"scholastie";0;385
"scholastien";1;99
"scholastique";0,226345083487941;1078
"scipion";1;29
"scolastie";0;23
"scolastique";0;76
"scott";1;1458
"scottie";1;20
"scotty";1;584
"scoty";1;41
"sead";1;25
"sean";1;2459
"sebahat";0;51
"sebahattin";1;21
"seban";1;21
"sebastian";1;1511
"sébastian";1;158
"sebastiana";0;87
"sebastiano";1;242
"sebastiao";1;35
"sebastien";1;383
"sébastien";0,999608385164709;303870
"sebastienne";0;908
"sébastienne";0;20
"sebiha";0;29
"sebnem";0;32
"sebti";1;78
"secil";0;167
"secilia";0;24
"seckou";1;74
"second";1;65
"secondine";0;39
"secondo";1;89
"seda";0;510
"sedanur";0;33
"sedat";1;301
"seddik";1;193
"sedef";0;203
"sedifo";0;21
"sedik";1;79
"sedric";1;39
"sedrick";1;26
"sedrine";0;24
"sefa";0,940659340659341;455
"sefana";0;187
"séfana";0;20
"sefer";1;61
"seffana";0;22
"sefia";0;24
"sefiane";1;51
"sefika";0;34
"sefkan";1;60
"sefora";0;340
"séfora";0;28
"sega";1;139
"segal";1;20
"seghir";1;102
"segolaine";0;38
"segolen";0;54
"ségolène";0;5319
"segundo";1;46
"seham";0;120
"sehame";0;44
"sehem";0;30
"seher";0;318
"sehri";0;22
"sehriban";0;39
"seid";1;42
"seidou";1;31
"seif";1;232
"seïf";1;34
"seif-eddine";1;150
"seifana";0;20
"seifdine";1;35
"seifeddine";1;152
"seifedine";1;46
"seiji";1;52
"seikou";1;23
"seila";0;31
"seina";0;31
"seiya";1;41
"sejda";0;20
"sekhou";1;87
"sekina";0;63
"sekou";1;1415
"sékou";1;134
"sekouba";1;54
"sela";0;20
"selahattin";1;82
"selami";1;49
"selcan";0;95
"selcuk";1;208
"selda";0;466
"selem";1;42
"selen";0;963
"selena";0;4895
"sélena";0;56
"séléna";0;1781
"sélèna";0;104
"selenay";0;110
"selene";0;1320
"séléné";0;44
"sélène";0;937
"selenia";0;250
"sélénia";0;208
"selenn";0;46
"selenna";0;51
"selenne";0;20
"selenya";0;42
"sélénya";0;34
"seleyna";0;38
"selia";0;333
"sélia";0;83
"selian";1;34
"seliane";0;29
"seliha";0;46
"selim";1;5034
"sélim";1;260
"selima";0;301
"sélima";0;20
"seliman";1;32
"selimane";1;21
"selimata";0;69
"selime";0,661764705882353;68
"selin";0;1590
"selina";0;496
"sélina";0;131
"selinay";0;74
"seline";0;141
"sellam";1;25
"selly";0,327102803738318;107
"selma";0;9751
"selman";1;270
"selmane";1;112
"selmen";1;202
"selmene";1;83
"selmène";1;29
"seloua";0;134
"selsabil";0;190
"selsabila";0;29
"selsabile";0;63
"selsebil";0;71
"selsebile";0;21
"seltana";0;24
"selva";0;51
"selvan";1;20
"selver";0;46
"selvi";0;178
"selvina";0;24
"selvinaz";0;24
"selwa";0;134
"selwyn";1;21
"selya";0;298
"sélya";0;47
"selyan";1;1124
"sélyan";1;88
"selyane";1;95
"selyann";1;23
"selym";1;46
"selyna";0;45
"sélyna";0;22
"sem";1;166
"sema";0,0297450424929178;706
"sema-nur";0;38
"semanur";0;152
"semi";1;287
"semia";0;279
"semih";1;1379
"sémih";1;32
"semiha";0;129
"semin";1;26
"semina";0;42
"semir";1;151
"semira";0;87
"semmy";1;22
"semra";0;287
"semsi";0;30
"semy";1;163
"semya";0;22
"sena";0,0687134502923977;684
"séna";0;22
"senad";1;76
"senada";0;33
"senami";0;28
"senan";1;32
"senanur";0;33
"senateur";1;44
"senay";0;107
"senda";0;106
"sende";0;37
"sendes";0;30
"sendrine";0;39
"sendy";0;84
"senem";0;173
"sener";1;34
"seng";1;43
"sengul";0;101
"seni";1;75
"senia";0;92
"senna";0,80794701986755;151
"sennur";0;24
"senny";1;104
"senol";1;96
"senou";1;22
"senouci";1;26
"senthuran";1;35
"seny";1;244
"sény";1;22
"senzo";1;105
"sephana";0;42
"sephora";0;3216
"séphora";0;425
"sephorah";0;32
"septi";1;22
"septime";0,694087403598972;389
"sera";0;28
"serafettin";1;24
"serafim";1;39
"serafin";1;110
"serafina";0;91
"serafino";1;38
"serah";0;42
"serap";0;216
"seraphie";0;336
"seraphin";0,991147540983607;3050
"séraphin";1;242
"seraphina";0;27
"seraphine";0;2303
"séraphine";0;223
"seray";0;33
"seraya";0;24
"sercan";1;116
"serdal";1;139
"serdar";1;361
"seref";1;40
"sereine";0;24
"seren";0;100
"serena";0;1643
"sérena";0;43
"séréna";0;5517
"sérèna";0;27
"serene";0;49
"serenella";0;47
"serenna";0;44
"serey";1;28
"serge";0,998687275230069;219391
"sergei";1;47
"sergeline";0;28
"sergen";1;97
"serges";1;251
"sergette";0;119
"sergey";1;21
"sergi";1;28
"sergina";0;30
"sergine";0;2017
"serginio";1;28
"sergio";1;3189
"sergiu";1;33
"sergo";1;20
"serguei";1;101
"sergueï";1;40
"serhad";1;23
"serhan";1;62
"serhat";1;483
"serif";0,619718309859155;71
"serife";0;316
"serigne";1;320
"serigne-fallou";1;21
"serigne-saliou";1;59
"serin";0;21
"serina";0;151
"serine";0;1145
"sérine";0;196
"serjio";1;33
"serjo";1;21
"serkan";1;993
"sermin";0;23
"sernin";1;24
"serpil";0;294
"serra";0;36
"serrine";0;28
"sertac";1;23
"sertan";1;27
"servais";0,81549815498155;813
"servaise";0;55
"servan";1;326
"servane";0;3317
"servann";1;22
"servanne";0;443
"servet";1;63
"servilia";0;22
"serwan";1;39
"sery";1;29
"seryne";0;120
"seta";0;166
"setan";0;60
"seth";1;229
"sethi";1;29
"sethy";1;43
"setti";0;112
"setty";0;21
"sety";1;23
"sevag";1;50
"sevak";1;32
"seval";0;120
"sevan";0,978360655737705;1525
"sévan";1;280
"sevana";0;53
"sevane";0,405797101449275;138
"sévane";0;27
"sevann";1;72
"sévann";1;31
"sevcan";0;54
"sevda";0;512
"sevde";0;130
"seven";1;177
"sever";1;28
"severe";1;201
"severic";1;21
"severin";0,986244268445186;2399
"séverin";1;206
"severina";0;199
"severine";0;80405
"séverine";0;14749
"sévérine";0;78
"sèverine";0;184
"severinne";0;59
"severino";1;228
"severyne";0;45
"sevgi";0;407
"sevil";0;174
"sevilay";0;181
"sevim";0;311
"sevin";0;83
"sevinc";0;61
"sevket";1;66
"sevki";1;20
"sevrine";0;296
"sévrine";0;46
"sevtap";0;20
"sevval";0;41
"sewan";1;38
"seyan";1;33
"seyana";0;63
"seyba";1;54
"seyda";0;186
"seydi";1;95
"seydina";1;297
"seydou";1;697
"seyed";1;34
"seyf";1;86
"seyf-eddine";1;38
"seyfdine";1;35
"seyfeddine";1;46
"seyfedine";1;40
"seyfi";1;30
"seyfullah";1;26
"seyha";1;21
"seyhan";0,579545454545455;176
"seyid";1;20
"seyit";1;128
"seyla";0;28
"seylan";1;46
"seylian";1;27
"seyma";0;577
"seymen";1;126
"seymour";1;48
"seyna";0;74
"seynabou";0;402
"seyni";0,740740740740741;135
"seyon";1;20
"seyran";0;27
"seyyid";1;56
"sezai";1;21
"sezen";0;75
"sezer";1;196
"sezgin";1;90
"sezni";1;47
"sezny";1;84
"sfia";0;76
"shaad";1;34
"shaan";0,604938271604938;81
"shaana";0;27
"shaban";1;32
"shabana";0;40
"shabnam";0;40
"shad";1;170
"shada";0;49
"shade";0;343
"shadé";0;114
"shadee";0;37
"shaden";0;209
"shadene";0;58
"shadène";0;27
"shadey";0;132
"shadi";0,844594594594595;148
"shadia";0;68
"shadine";0;25
"shady";1;194
"shadya";0;27
"shae";0;29
"shaé";0;35
"shaelynn";0;22
"shaena";0;30
"shafik";1;24
"shahan";1;28
"shahana";0;36
"shahd";0;109
"shahed";0;21
"shaheed";1;25
"shaheen";0,645390070921986;141
"shahid";1;227
"shahida";0;38
"shahim";1;31
"shahima";0;23
"shahin";1;239
"shahïn";1;30
"shahina";0;142
"shahinaz";0;95
"shahinaze";0;33
"shahine";0,859078590785908;369
"shahines";0;24
"shahinez";0;426
"shahineze";0;100
"shahira";0;26
"shahnaz";0;22
"shahrazad";0;41
"shahrazade";0;31
"shahrazed";0;34
"shahyn";1;72
"shahyna";0;40
"shahyne";1;37
"shahynez";0;35
"shai";0,903125;320
"shaï";1;79
"shaid";1;21
"shaila";0;42
"shaïla";0;20
"shaili";0;74
"shaïli";0;23
"shaily";0;156
"shaïly";0;159
"shaïlys";0;26
"shaim";1;47
"shaïm";1;46
"shaima";0;1890
"shaïma";0;549
"shaimaa";0;73
"shaimae";0;51
"shain";1;145
"shaïn";1;96
"shaina";0;2623
"shaïna";0;1513
"shaine";0,720930232558139;86
"shaïne";1;57
"shaines";0;195
"shaïnes";0;47
"shainese";0;126
"shainess";0;203
"shaïness";0;113
"shainesse";0;77
"shaïnesse";0;28
"shainez";0;660
"shaïnez";0;321
"shaineze";0;308
"shaïneze";0;54
"shainice";0;45
"shainis";0;22
"shainna";0;81
"shaïnna";0;107
"shainy";0;55
"shaïny";0;44
"shainyce";0;21
"shainys";0;45
"shaïnys";0;39
"shaira";0;25
"shaka";1;24
"shakeel";1;22
"shakib";1;41
"shakil";1;57
"shakila";0;25
"shakir";1;69
"shakira";0;303
"shakti";0;31
"shakur";1;29
"shaleena";0;24
"shalia";0;20
"shalimar";0;25
"shalina";0;43
"shalini";0;99
"shalom";0,691056910569106;123
"shalva";0;39
"shalya";0;57
"shalyna";0;31
"sham";0,323943661971831;71
"shama";0;68
"shamia";0;21
"shamil";1;34
"shamila";0;56
"shamima";0;20
"shamina";0;47
"shamir";1;41
"shamira";0;34
"shams";0,593023255813954;258
"shams-eddine";1;43
"shamseddine";1;38
"shamsedine";1;24
"shamsia";0;21
"shamsy";0;34
"shan";0,866666666666667;180
"shana";0;8077
"shanaa";0;21
"shanael";0;153
"shanaël";0;53
"shanaelle";0;151
"shanaëlle";0;72
"shanah";0;34
"shanaya";0;62
"shanaz";0;50
"shandra";0;35
"shandrany";0;21
"shane";0,706422018348624;436
"shanee";0;26
"shanel";0;689
"shanell";0;67
"shanella";0;20
"shanelle";0;303
"shanelya";0;20
"shanen";0;34
"shanese";0;34
"shanesia";0;65
"shanez";0;177
"shaneze";0;102
"shani";0,113702623906706;343
"shania";0;548
"shanice";0;1044
"shanie";0;61
"shanika";0;22
"shanis";0;99
"shaniss";0;20
"shanisse";0;48
"shankar";1;22
"shann";1;44
"shanna";0;4727
"shannah";0;109
"shannel";0;177
"shannen";0;217
"shannon";0,0327466230045027;2443
"shannone";0;152
"shanny";0;59
"shanon";0,041343669250646;1161
"shanone";0;592
"shanonn";0;82
"shanonne";0;57
"shanti";0,15668202764977;217
"shanty";0;58
"shany";0,141552511415525;438
"shanya";0;141
"shanyce";0;331
"shanys";0;268
"shanyss";0;53
"shanysse";0;51
"shaona";0;27
"shaquille";1;22
"shara";0;80
"sharan";1;42
"sharazade";0;25
"sharazed";0;20
"shari";0;22
"sharif";1;75
"sharifa";0;31
"sharleen";0;329
"sharlen";0;47
"sharlene";0;124
"sharlène";0;21
"sharleyne";0;28
"sharlie";0;59
"sharline";0;66
"sharly";0,543478260869565;46
"sharlyne";0;71
"sharmila";0;73
"sharon";0,0262725779967159;2436
"sharona";0;41
"sharone";0;321
"sharonne";0;39
"sharujan";1;36
"sharvin";1;22
"shaun";1;299
"shauna";0;472
"shauwn";1;21
"shawn";1;1047
"shawna";0;159
"shawnee";0;33
"shay";1;114
"shaya";0;109
"shayaan";1;51
"shayan";1;448
"shayana";0;307
"shayane";0,28;125
"shayann";1;157
"shayanna";0;95
"shayanne";0;52
"shayden";0;34
"shayla";0;32
"shaylee";0;53
"shayli";0;38
"shaylie";0;41
"shayline";0;28
"shayma";0;1263
"shaymaa";0;55
"shaymae";0;43
"shayn";1;58
"shayna";0;2741
"shaynah";0;21
"shayne";1;108
"shaynes";0;119
"shaynese";0;48
"shayness";0;220
"shaynesse";0;62
"shaynez";0;345
"shayneze";0;72
"shaynice";0;89
"shaynis";0;73
"shayniss";0;32
"shaynisse";0;23
"shaynna";0;258
"shazia";0;66
"shean";1;178
"sheena";0;79
"sheerazade";0;87
"sheherazad";0;42
"sheherazade";0;762
"shéhérazade";0;101
"shehrazad";0;65
"shehrazade";0;151
"shehrazed";0;35
"sheik";1;31
"sheikh";1;24
"sheila";0;753
"sheilla";0;37
"sheily";0;20
"sheima";0;467
"sheïma";0;70
"sheina";0;178
"sheïna";0;61
"sheinez";0;33
"shekina";0;70
"shekinah";0;51
"shelby";0;417
"shelcy";0;90
"sheldon";0,945205479452055;365
"sheldone";0;20
"sheley";0;20
"sheli";0;40
"shelihane";0;26
"shelina";0;21
"shella";0;41
"shelley";0;103
"shelly";0;611
"shelly-ann";0;36
"shelsea";0;159
"shelsey";0;24
"shelsie";0;26
"shelssy";0;64
"shelsy";0;572
"shelton";1;87
"shely";0;61
"shemar";1;30
"shems";0,643776824034335;233
"shems-dine";1;24
"shems-eddine";1;78
"shemsdine";1;45
"shemseddine";1;37
"shemsedine";1;27
"shemsi";0;38
"shemssy";0;30
"shemsy";0,120535714285714;224
"shen";1;83
"shena";0;36
"shenoa";0;23
"sheona";0;30
"sheraz";0;99
"sherazad";0;154
"sherazade";0;1370
"shérazade";0;223
"sheraze";0;33
"sherazed";0;45
"shereen";0;106
"sherel";0;32
"sheriane";0;65
"sheridan";0,456896551724138;116
"sheridane";0;23
"sherif";1;138
"sherifa";0;56
"sheriff";1;28
"sherihane";0;59
"sherilyn";0;92
"sherilyne";0;25
"sherin";0;33
"sherina";0;52
"sherine";0;1842
"shérine";0;407
"sherley";0;681
"sherline";0;28
"sherly";0;34
"sherlyn";0;20
"sherlyne";0;22
"sheron";0;40
"sherone";0;31
"sherry";0;80
"sherryl";0;42
"shervin";1;27
"sheryane";0;72
"sherydan";0;27
"sheryfa";0;42
"sheryl";0;434
"shéryl";0;25
"sherylane";0;21
"sheryline";0;61
"sheryn";0;124
"sheryna";0;25
"sheryne";0;1128
"shéryne";0;185
"sheun";1;72
"sheurley";0;20
"sheyen";0;20
"sheyene";0;23
"sheyenne";0;168
"sheyla";0;55
"sheyma";0;435
"sheyna";0;196
"sheynez";0;25
"sheyrine";0;21
"shifa";0;34
"shihab";1;20
"shilo";0,489130434782609;92
"shiloh";0,38655462184874;119
"shima";0;42
"shimene";0;20
"shimon";1;64
"shina";0;25
"shine";0;28
"shinji";1;29
"shira";0;102
"shiraz";0;160
"shiraze";0;28
"shireen";0;22
"shirel";0;1247
"shirelle";0;49
"shirin";0;96
"shirine";0;689
"shirley";0;4473
"shirly";0;78
"shiryne";0;27
"shiva";0,534883720930233;86
"shivam";1;25
"shivan";1;31
"shivani";0;92
"shivany";0;31
"shiven";1;23
"shlomo";1;34
"shmouel";1;40
"shoaib";1;24
"shola";0;37
"shon";1;31
"shona";0;639
"shone";1;57
"shonna";0;83
"shony";0;20
"shoshana";0;76
"shouayb";1;21
"showna";0;24
"shreya";0;39
"shuayb";1;22
"shun";1;388
"shyam";1;20
"shyheim";1;22
"shym";0;20
"shyna";0;93
"shyne";0;30
"shyness";0;75
"shyneze";0;22
"shynice";0;35
"shyrel";0;309
"shyrelle";0;35
"shyrine";0;126
"si";0,923705722070845;367
"si-mohamed";1;107
"sia";0;197
"sïa";0;21
"siabou";1;25
"siaka";1;86
"siam";0,280660377358491;424
"siame";0;22
"sian";0,284090909090909;176
"siana";0;733
"sïana";0;81
"siane";0;91
"sianna";0;151
"siara";0;72
"siata";0;36
"sibel";0;1744
"sibella";0;24
"sibelle";0;25
"sibille";0;182
"sibyl";0;90
"sibyle";0;79
"sibylle";0;2943
"sibylline";0;27
"sicilia";0;40
"sid";1;483
"sid-ahmed";1;266
"sid-ali";1;165
"sid-hamed";1;50
"sid'ahmed";1;21
"sidahmed";1;42
"sidali";1;97
"sidalia";0;96
"sidar";1;69
"siddharth";1;21
"sidelya";0;56
"sidgey";0;25
"sidgy";0;29
"sidi";1;1285
"sidi-ahmed";1;75
"sidi-ali";1;23
"sidi-hamed";1;23
"sidi-mohamed";1;431
"sidi-mohammed";1;49
"sidia";1;30
"sidika";0;28
"sidiki";1;100
"sidiya";1;51
"sidjey";0;57
"sidji";0;31
"sidjie";0;23
"sidjy";0,398550724637681;138
"sidney";0,625743415463042;2354
"sidoine";0,95679012345679;486
"sidonia";0;78
"sidonie";0,0141584836720712;8758
"sidonio";1;28
"sidra";0;248
"sidwell";0;23
"sidy";1;618
"sidya";1;63
"siegfrid";1;50
"siegfried";1;1134
"sieglinde";0;68
"siegmund";1;21
"siegrid";0;110
"siegried";0;20
"siem";0;52
"sieme";0;28
"siena";0;163
"sienna";0;985
"sierra";0;35
"sif";1;45
"sif-eddine";1;38
"sifa";0;27
"sifaks";1;26
"sifdine";1;86
"sifeddine";1;35
"sifedine";1;44
"siffrein";1;26
"siga";0;229
"sigfrid";1;54
"sigfried";1;76
"sigisbert";1;23
"sigismond";1;275
"sigmond";1;102
"sigmund";1;82
"sigolene";0;187
"sigolène";0;46
"sigourney";0;26
"sigrid";0;1351
"sigride";0;29
"sigried";0;33
"siham";0;5063
"sihame";0;1607
"sihan";0;30
"sihana";0;31
"sihane";0;57
"sihem";0;2612
"siheme";0;272
"sihème";0;33
"sika";0;52
"sikhou";1;90
"sikou";1;160
"sila";0;777
"silamakan";1;43
"silan";0,207142857142857;140
"silane";0;41
"silas";1;950
"silemane";1;31
"silene";0;190
"silène";0;49
"sileye";1;51
"sileymane";1;71
"silia";0;243
"siliana";0;35
"silima";1;48
"siliman";1;42
"silina";0;106
"siline";0;26
"silja";0;31
"silke";0;34
"silla";0;25
"sillia";0;23
"silly";1;135
"silma";0;22
"silman";1;26
"siloe";0,0476190476190476;588
"siloé";0,0694087403598972;389
"siloë";0;77
"silouan";1;30
"silouane";1;128
"silva";0;106
"silvain";1;1190
"silvaine";0;109
"silvan";1;104
"silvana";0;1162
"silvane";0;33
"silvanie";0;47
"silvanna";0;26
"silvano";1;416
"silver";1;110
"silvere";0,936496859734822;1433
"silvère";1;135
"silverio";1;101
"silvestre";1;104
"silvestro";1;22
"silvette";0;210
"silvi";0;151
"silvia";0;2127
"silvian";1;20
"silviana";0;49
"silviane";0;617
"silvianne";0;62
"silvie";0;580
"silvija";0;24
"silvin";1;80
"silvina";0;181
"silvine";0;167
"silvino";1;60
"silvio";1;1468
"silvy";0;57
"silya";0;474
"silyan";1;38
"sima";0;71
"siman";0;22
"simane";0;69
"simao";1;457
"simay";0;93
"simbad";1;22
"simbala";1;80
"simballa";1;31
"simbara";1;25
"simeo";1;195
"siméo";1;243
"simeon";0,98489336492891;3376
"siméon";1;910
"simeone";0;199
"simeonie";0;71
"simeonne";0;152
"simge";0;36
"simha";0;136
"simiane";0;40
"similien";1;147
"similienne";0;24
"simina";0;56
"simine";0;35
"simohamed";1;63
"simon";0,999072108748855;86217
"simon-pierre";1;349
"simona";0;141
"simone";0,000263671120284037;219971
"simonet";1;21
"simonetta";0;29
"simonette";0;88
"simonne";0,000218597931873479;105216
"simplice";0,676829268292683;328
"simran";0;38
"simy";0;47
"sina";0,517110266159696;263
"sinai";0,191685912240185;433
"sinaï";0,206422018348624;218
"sinaly";1;33
"sinan";1;1168
"sinane";1;41
"sinay";0,426229508196721;61
"sinaya";0;61
"sincere";1;32
"sinclair";1;144
"sinda";0;282
"sindbad";1;30
"sindi";0;38
"sindia";0;40
"sindie";0;64
"sindou";1;22
"sindy";0;2056
"sinead";0;65
"sinem";0;926
"singrid";0;57
"sinisa";1;55
"sinthia";0;33
"sinthujan";1;28
"sintia";0;32
"sioban";1;23
"siobane";0;58
"siobhan";0,0948275862068965;232
"siobhane";0;67
"sion";1;68
"siona";0;72
"siouar";0;30
"sipa";0;21
"sipan";1;44
"sira";0;989
"sirac";1;29
"siraç";1;24
"siradou";0;27
"sirah";0;56
"siraj";1;48
"sirandou";0;104
"sire";0,416666666666667;96
"siré";0;23
"sirena";0;40
"siria";0;27
"siriana";0;29
"siriane";0;178
"sirielle";0;21
"siriki";1;20
"sirima";0,415094339622642;53
"siriman";1;51
"sirin";0;258
"sirina";0;95
"sirine";0,00257795236926099;8146
"sirinne";0;31
"sirio";1;43
"sirius";1;147
"siro";1;22
"sirou";1;105
"sirra";0;72
"siryne";0;262
"sisley";0;34
"sisse";0;26
"sissi";0;158
"sita";0,111111111111111;198
"sitan";0;81
"siti";0;34
"sitina";0;22
"sitti";0;36
"sitty";0;27
"siva";1;48
"sivan";1;53
"sivane";0;51
"siven";1;24
"siwan";1;48
"siwar";0;353
"siware";0;21
"sixte";1;447
"sixtine";0;4339
"siya";0;78
"siyabend";1;20
"siyam";0;29
"siyana";0;48
"siyar";1;71
"skandar";1;47
"skander";1;651
"skender";1;76
"sklaerenn";0;37
"skurta";0;29
"skye";0;27
"skyla";0;35
"sladan";1;39
"sladana";0;88
"sladjana";0;37
"slah";1;41
"slaven";1;27
"slavica";0;161
"slavisa";1;49
"slavko";1;36
"slawko";1;22
"slayton";1;27
"slevin";1;40
"slim";1;966
"sliman";1;765
"slimane";1;2663
"slimann";1;31
"slime";1;22
"slimen";1;132
"slimene";1;42
"sloan";0,970984455958549;965
"sloana";0;26
"sloane";0,107871720116618;1029
"sloann";0,817708333333333;192
"sloanne";0;167
"slobodan";1;110
"slobodanka";0;20
"slohan";1;117
"slohane";0;58
"slohann";1;37
"slone";1;24
"slorane";0;25
"slovan";1;31
"slowan";1;76
"slowane";0;29
"slowann";1;28
"sly";1;54
"slyman";1;21
"slymane";1;21
"smael";1;293
"smaël";1;50
"smahan";0;167
"smahane";0;473
"smahen";0;58
"smahene";0;26
"smahil";1;22
"smahin";1;34
"smahine";1;35
"smail";1;1721
"smaïl";1;131
"smaile";1;25
"smailey";1;24
"smain";1;1042
"smaïn";1;85
"smaine";1;195
"smiley";1;51
"smilla";0;27
"smina";0;112
"smita";0;23
"smith";1;82
"sneha";0;34
"snejana";0;52
"snezana";0;239
"so";0;23
"soa";0,375959079283887;391
"soaad";0;21
"soad";0;196
"soade";0;59
"soam";1;53
"soan";0,993603701687534;7348
"soän";1;38
"soana";0;277
"soane";0,29981718464351;1094
"soann";0,94661921708185;843
"soanna";0;35
"soanne";0;226
"soany";1;20
"soaz";0;34
"soazic";0;472
"soazick";0;47
"soazig";0;1272
"soazik";0;36
"sobia";0;25
"socheata";0;41
"socrate";0,741935483870968;372
"soda";0;45
"soel";1;119
"soël";1;37
"soeli";0;35
"soelie";0;74
"soélie";0;59
"soéline";0;21
"soen";1;904
"soën";1;353
"soenn";1;28
"soeren";1;23
"sofana";0;21
"soffia";0;22
"soffiane";1;30
"sofi";0;78
"sofia";0;23155
"sofian";1;5888
"sofiana";0;78
"sofiane";0,99392346147216;23204
"sofiann";1;102
"sofianne";1;40
"sofiatou";0;20
"sofie";0;129
"sofien";1;1227
"sofiene";1;888
"sofiène";1;42
